"guid","name","known for","date of birth","date of death","picture","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"o/oT7jn2wW","Simón Bolívar","South American revolutionary leader; liberated multiple colonies from Spanish rule","1783","1830","<img src=""uh_simón-bolívar.png"">","Antonio José de Sucre (1795–1830): trusted general who secured key victories for Bolívar's independence campaigns","Francisco de Paula Santander (1792–1840): political ally who helped establish Gran Colombia alongside Bolívar","José de San Martín (1778–1850): fellow liberator with whom Bolívar coordinated efforts to free South America","","","","","","Congress of Angostura (1819): constitutional assembly where Bolívar outlined his vision for Gran Colombia","Venezuelan War of Independence (1810–1823): prolonged struggle in which Bolívar led patriot forces against Spanish colonial rule","","","","","","","Known as 'El Libertador'; liberated Venezuela; Colombia; Ecuador; Peru; and Bolivia (named after him). Spanish: [siˈmon boˈliβaɾ]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Simón_Bolívar#/media/File:Bolivar_Arturo_Michelena.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::South"
"h6@rE_N?yN","Stephen A. Douglas","American politician; advocate of popular sovereignty; Lincoln's rival in 1858 debates and 1860 presidential election.","1813","1861","<img src=""uh_stephen-a-douglas.png"">","Abraham Lincoln (1809–1865): political rival who debated Douglas in 1858 and defeated him in the 1860 presidential election","Jefferson Davis (1808–1889): Senate colleague; their disagreements over slavery expansion reflected the deepening sectional crisis","","","","","","","American Civil War (1861–1865): conflict precipitated by tensions Douglas tried to manage through popular sovereignty; he supported Lincoln after Fort Sumter but died three months into the war","","","","","","","","Senator from Illinois; architect of the Kansas-Nebraska Act (1854) which allowed territories to decide on slavery through popular sovereignty. Despite opposing Lincoln, he urged loyalty to the Union after war began and campaigned for Lincoln's war policies until his sudden death in June 1861.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Stephen_A._Douglas#/media/File:Stephen_A_Douglas_-_headshot.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"ru1]gGhNQp","Stonewall Jackson","Confederate general; Robert E. Lee's most trusted commander; famous for Valley Campaign and aggressive tactics.","1824","1863","<img src=""uh_stonewall-jackson.jpg"">","Jefferson Davis (1808–1889): Confederate president whose military hopes depended heavily on Jackson's battlefield successes","Robert E. Lee (1807–1870): commanding general who relied on Jackson as his most effective corps commander","","","","","","","American Civil War (1861–1865): conflict in which Jackson became the Confederacy's most celebrated general before his accidental death","","","","","","","","Earned nickname 'Stonewall' at First Bull Run (1861) for his brigade's steadfast defense. Led brilliant Shenandoah Valley Campaign (1862), tying down Union forces. Played crucial role at Second Bull Run and Chancellorsville, where he was accidentally shot by his own men and died eight days later. His death was a devastating blow to Confederate military leadership.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Stonewall_Jackson#/media/File:Stonewall_Jackson_by_Routzahn,_1862.png"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"k#v;z-#@L!","Taung Child","First Australopithecus africanus discovered; provided early evidence for human origins in Africa","c. 2,800,000 BCE","","<img src=""uh_taung-child.jpg"">","Charles Darwin (1809–1882): naturalist whose theory this fossil supported","Lucy (c. 3,200,000 BCE): earlier Australopithecus species","Mrs Ples (c. 2,500,000 BCE): later specimen of same species (Australopithecus africanus)","","","","","","","","","","","","","","Australopithecus africanus. Provided the first hint that Darwin may have been correct about humans originating in Africa.","","An African History of Africa by Zeinab Badawi (Penguin Random House UK, 2025)<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Taung_Child#/media/File:Taung_child.jpg"">Wikipedia</a> (Creative Commons Attribution-Share Alike 4.0 International)","UH::Period::Prehistory, UH::Region::Africa"
"2BQ4F!^J+)","Theobald von Bethmann Hollweg","German Imperial Chancellor who issued the 'blank check' to Austria-Hungary and called Belgian neutrality a 'scrap of paper'","1856","1921","<img src=""uh_theobald-von-bethmann-hollweg.jpg"">","","","","","","","","","July Crisis (1914): issued the 'blank check' assuring Germany's unconditional support for Austria-Hungary's action against Serbia, making war nearly inevitable","World War I (1914–1918): served as German Chancellor at the war's outbreak, issuing the 'blank check' to Austria-Hungary and later lamenting Belgium's violation as a 'scrap of paper'","","","","","","","Born November 29, 1856, into a successful commercial and agrarian family. Rose through the Prussian administration to become the youngest Landrat in Brandenburg (1886) and youngest Oberpräsident (1899). Appointed Chancellor by Wilhelm II in 1909 for his conciliatory political style. Initiated the July Crisis of 1914 with the 'blank check' to Austria-Hungary, assuring German support for action against Serbia. His description of Belgian neutrality as a 'scrap of paper' became notorious, especially in the United States. Opposed unrestricted submarine warfare but ultimately yielded to military pressure. Tried to secure US mediation in 1916, understanding that American entry would be decisive. Forced to resign on July 13, 1917, under pressure from Hindenburg and Ludendorff. Died of acute pneumonia on January 1, 1921, at his estate at Hohenfinow. German: [ˈteːobalt fɔn ˈbeːtman ˈhɔlveːk]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:Theobald_von_Bethmann_Hollweg(cropped).jpg"">Wikipedia</a> (CC BY-SA 3.0)","UH::Period::19th_Century, UH::Period::20th_Century, UH::Region::Europe::Central, UH::Theme::Politics"
"LleiW79/XU","Thomas Henry Huxley","Biologist and leading defender of Darwin’s theory. Nicknamed 'Darwin’s Bulldog' for his fierce advocacy of evolution.","1825","1895","<img src=""uh_thomas-henry-huxley.jpg"">","Alfred Russel Wallace (1823–1913): fellow evolutionist whose work Huxley supported within the scientific community","Charles Darwin (1809–1882): scientific ally whose theory Huxley vigorously defended and popularized","Joseph Dalton Hooker (1817–1911): close friend and collaborator who joined Huxley in promoting evolutionary science","","","","","","","","","","","","","","","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Thomas_Henry_Huxley#/media/File:Thomas_Henry_Huxley_by_Collier,_1885.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"f<Zae#qasA","Toumaï","Early hominin fossil; possible common ancestor of humans and chimpanzees","c. 7,000,000 BCE","","<img src=""uh_toumaï.jpg"">","Lucy (c. 3,200,000 BCE): later hominin species in human evolutionary timeline","","","","","","","","","","","","","","","","Sahelanthropus tchadensis. Found in northern Chad. Some experts believe Toumaï was from a species of primates that was a common ancestor to both humans and chimpanzees. Molecular evidence suggests Toumaï lived close to the gorilla/chimpanzee-human divergence.<br><br>Toumaï means 'hope of life' in the local Daza language. It is unknown whether he/she was bipedal.","","An African History of Africa by Zeinab Badawi (Penguin Random House UK, 2025)<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Sahelanthropus#/media/File:Sahelanthropus_tchadensis_-_TM_266-01-060-1.jpg"">Wikipedia</a> (Creative Commons Attribution-Share Alike 4.0 International)","UH::Period::Prehistory, UH::Region::Africa"
"q%upw)$!9F","Turkana Boy","Homo erectus fossil; evolutionary ancestor of modern humans who mastered fire and language","c. 1,500,000 BCE","","<img src=""uh_turkana-boy.jpg"">","Homo habilis (c. 1,700,000 BCE): earlier Homo species that died out while Homo erectus survived","","","","","","","","","","","","","","","","Homo erectus. Found in northern Kenya. Latin for 'upright man'. Unlike other lines like Homo habilis that died out, Homo erectus survived and evolved. Most experts believe Homo erectus acquired the knowledge of how to start a fire by rubbing together flintstones. At around the same time language developed. Around 400,000 years ago this hominin became the archaic Homo sapiens. 200,000 years later, Homo erectus had fully developed into Homo sapiens, anatomically the same as us. Homo sapiens sapiens, the modern humans, was fully formed genetically about 100,000 years ago.<br><br>Turkana Boy was prepubescent, probably about 12 years old. He stood a metre and a half tall.","","An African History of Africa by Zeinab Badawi (Penguin Random House UK, 2025)<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Turkana_Boy#/media/File:Turkana_Boy.jpg"">Wikipedia</a> (Creative Commons Attribution-Share Alike 3.0 Unported)","UH::Period::Prehistory, UH::Region::Africa"
"Hj>+BlXd2y","Ulysses S. Grant","Union general and later U.S. President","1822","1885","<img alt=""Photograph of Ulysses S. Grant's upper body"" src=""uh_ulysses-s-grant.jpg"">","Abraham Lincoln (1809–1865): president who elevated Grant to command and relied on his victories to preserve the Union","Robert E. Lee (1807–1870): principal Confederate opponent whom Grant ultimately compelled to surrender at Appomattox","William Tecumseh Sherman (1820–1891): close military colleague whose coordinated campaigns complemented Grant’s overall strategy","","","","","","American Civil War (1861–1865): defining conflict in which Grant rose from regimental commander to general-in-chief","Appomattox Campaign (1865): final series of operations through which Grant secured Lee’s surrender and effectively ended the war","","","","","","","Oversaw key Union victories; presidency focused on Reconstruction reforms.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Ulysses_S._Grant#/media/File:Ulysses_S._Grant_1870-1880.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"I$L]TL~s<|","Victor Emmanuel II","First king of unified Italy; led the Risorgimento to success","1820","1878","<img src=""uh_victor-emmanuel-ii.jpg"">","Camillo Benso, Count of Cavour (1810–1861): prime minister whose diplomatic strategy enabled Victor Emmanuel's unification project","Giuseppe Garibaldi (1807–1882): nationalist military leader whose conquests Victor Emmanuel incorporated into the Italian kingdom","Napoleon III (1808–1873): French ally whose military support helped Victor Emmanuel defeat Austria","","","","","","Expedition of the Thousand (1860): Garibaldi's campaign that Victor Emmanuel absorbed to expand his kingdom","Second Italian War of Independence (1859): conflict in which Victor Emmanuel's alliance with France defeated Austria","Unification of Italy (Risorgimento) (1848–1871): nationalist movement that Victor Emmanuel brought to completion as monarch","","","","","","Became first king of unified Italy in 1861; pragmatic monarch who balanced nationalist and monarchical ambitions. Italian: [ˈvittor emaˈnwɛːle]","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Victor_Emmanuel_II#/media/File:Victor_Emmanuel_II.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"rxf/S^j#IR","Victor Hugo","French novelist and poet; leader of French Romanticism","1802","1885","<img src=""uh_victor-hugo.jpg"">","Alexandre Dumas (1802–1870): fellow French literary giant who shared Hugo’s prominence in Romanticism","Napoleon III (1808–1873): ruler whose authoritarian regime Hugo opposed, leading to his long exile","","","","","","","Paris Commune (1871): revolutionary episode Hugo sympathized with to an extent, defending the Communards’ rights after its suppression","Revolutions of 1848 (1848–1849): upheaval during which Hugo emerged as a major political voice","Second French Empire (1852–1870): regime Hugo criticized vehemently, prompting his exile to the Channel Islands","","","","","","Author of <i>Les Misérables</i> and <i>The Hunchback of Notre-Dame</i>; political exile for years.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Victor_Hugo#/media/File:Victor_Hugo_by_Étienne_Carjat_1876_-_full.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"M=7i/9[y5O","Vladimir Lenin","Bolshevik revolutionary leader who led the October Revolution and founded the Soviet state","1870","1924","<img src=""uh_vladimir-lenin.jpg"">","Leon Trotsky (1879–1940): revolutionary partners who led the Bolshevik seizure of power; Trotsky organized the military aspects of the October Revolution while Lenin provided political leadership","","","","","","","","Execution of the Romanovs (1918): led the Bolshevik government that ordered the execution in July 1918 to prevent the imperial family's rescue by the advancing White Army","February Revolution (1917): returned to Russia in April 1917 after the revolution via a sealed train provided by Germany, delivering the April Theses that called for soviet power","October Revolution (1917): led the Bolshevik seizure of power in Petrograd, establishing the world's first communist state","Russian Civil War (1917–1922): led the Bolshevik government throughout the civil war against White forces and foreign intervention","Treaty of Brest-Litovsk (1918): negotiated Russia's exit from WWI, accepting harsh German terms including loss of one-third of Russia's European population to consolidate Bolshevik power","","","","Born Vladimir Ilyich Ulyanov on April 22, 1870, in Simbirsk. Embraced revolutionary socialism after his older brother Aleksandr was executed in 1887 for plotting to assassinate Tsar Alexander III. Exiled to Siberia 1897–1900, then moved to Western Europe. Founded the Bolshevik faction after the 1903 party split. Returned to Russia in April 1917 via a sealed train provided by Germany. Signed the Treaty of Brest-Litovsk (1918) to exit WWI. Suffered strokes 1922–1923; died January 21, 1924. His embalmed body remains on display in Moscow's Red Square.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:Lenin_in_1920_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Period::20th_Century, UH::Region::Asia, UH::Region::Europe::Eastern, UH::Theme::Politics"
"x20~>kQ}dx","Wilhelm I","King of Prussia and first German Emperor","1797","1888","<img alt=""Black-and-white photograph of an elderly Wilhelm, a bald man with side whiskers"" src=""uh_wilhelm-i.jpg"">","Helmuth von Moltke the Elder (1800–1891): Prussian general whose military successes strengthened Wilhelm’s reign","Napoleon III (1808–1873): French emperor whose defeat enabled Wilhelm’s proclamation as German Emperor","Otto von Bismarck (1815–1898): his chief minister and architect of the political strategy that led to German unification","","","","","","Austro-Prussian War (1866): conflict that elevated Prussia’s dominance under Wilhelm’s rule","Franco-Prussian War (1870–1871): decisive war that resulted in German unification and Wilhelm’s imperial coronation","","","","","","","His cooperation with Bismarck enabled rapid German unification.","","ChatGPT 5.1<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Wilhelm_I#/media/File:Kaiser_Wilhelm_I._in_Generals-Uniform_mit_Ordensband_des_Schwarzen_Adlerordens.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"mSRhtY]GGd","Wilhelm II","Last German Kaiser who dismissed Bismarck, pursued Weltpolitik, and led Germany into WWI","1859","1941","<img src=""uh_wilhelm-ii.jpg"">","Alfred von Tirpitz (1849–1930): appointed Tirpitz to build the Imperial Navy, supporting the massive naval expansion that triggered the arms race with Britain","Edward VII (1841–1910): nephew of Edward VII; Wilhelm's mother Victoria was Edward's sister; their strained relationship reflected growing Anglo-German rivalry","Otto von Bismarck (1815–1898): dismissed him in 1890, ending Bismarck's careful alliance diplomacy and ushering in the aggressive Weltpolitik that contributed to war tensions","Paul von Hindenburg (1847–1934): relied on Hindenburg and Ludendorff to run Germany's war effort from 1916, effectively sidelining himself from military decision-making","Theobald von Bethmann Hollweg (1856–1921): appointed him Chancellor in 1909 to replace Bülow; Bethmann Hollweg served until 1917, implementing the Kaiser's policies during the July Crisis","","","","Dismissal of Bismarck (1890): dismissed Bismarck in 1890, fundamentally changing German foreign policy from careful alliance diplomacy to aggressive Weltpolitik","July Crisis (1914): issued the 'blank check' through Chancellor Bethmann Hollweg, assuring Austria-Hungary of German support and making war nearly inevitable","World War I (1914–1918): led Germany into the war as Kaiser, bearing responsibility for its conduct through his erratic diplomacy and support for Austria-Hungary's ultimatum to Serbia","","","","","","Born January 27, 1859, in Berlin. Eldest grandchild of Britain's Queen Victoria. Born with a withered left arm, which affected him psychologically. Became Kaiser in 1888 (the 'Year of Three Emperors'). Dismissed Bismarck in 1890 and pursued Weltpolitik ('world policy'), seeking to transform Germany into a global power. Oversaw massive naval expansion under Tirpitz, triggering an arms race with Britain. His erratic personality and diplomatic blunders contributed to pre-war tensions. Abdicated November 9, 1918, and fled to the Netherlands, where he lived in exile until his death. The Dutch refused to extradite him for war crimes trials. German: [ˈvɪlhɛlm]","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:Kaiser_Wilhelm_II_of_Germany_-_1902_(cropped).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Period::20th_Century, UH::Region::Europe::Central, UH::Theme::Politics"
"jHqbL$j;j,","Wilhelm Liebknecht","German socialist leader; co-founder of the Social Democratic Party of Germany","1826","1900","<img src=""uh_wilhelm-liebknecht.jpg"">","Friedrich Engels (1820–1895): collaborator in building German socialist movement","Karl Marx (1818–1883): close ally whose ideas Liebknecht propagated in Germany","Otto von Bismarck (1815–1898): chancellor whose anti-socialist laws targeted Liebknecht's party","","","","","","First International (1864–1876): organization where Liebknecht worked alongside Marx to unite workers' movements","Unification of Germany (1866–1871): political context in which Liebknecht organized socialist opposition","","","","","","","Imprisoned multiple times for his political activities; helped establish the foundations of German social democracy despite Bismarck's repressive anti-socialist legislation.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Wilhelm_Liebknecht#/media/File:Wilhelm_Liebknecht.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"Q`h5L9?9:_","William Ewart Gladstone","British Liberal prime minister; served four terms; championed domestic reform and Irish Home Rule.","1809","1898","<img src=""uh_william-ewart-gladstone.jpg"">","Benjamin Disraeli (1804–1881): Conservative rival whose opposing political philosophy and personality created one of history's great parliamentary rivalries","Queen Victoria (1819–1901): monarch who grew to dislike Gladstone intensely despite his long service as her prime minister","Robert Gascoyne-Cecil, 3rd Marquess of Salisbury (1830–1903): Conservative successor who alternated in power with Gladstone during the late Victorian era","","","","","","Victorian Era (1837–1901): period during which Gladstone dominated Liberal politics and shaped British governance","","","","","","","","Known as the 'Grand Old Man' of British politics. Served as prime minister 1868–1874, 1880–1885, 1886, and 1892–1894. Champion of Irish Home Rule, which split his party. Advocated for fiscal responsibility, free trade, and political reform. His moral earnestness and oratorical skill made him a towering figure in Victorian public life.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/William_Ewart_Gladstone#/media/File:William_Gladstone_by_Bassano.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"i`G)~SJH6<","William H. Seward","American statesman; Secretary of State under Lincoln and Johnson; negotiated the Alaska Purchase; prevented foreign intervention in Civil War.","1801","1872","<img src=""uh_william-h-seward.jpg"">","Abraham Lincoln (1809–1865): president who appointed Seward as Secretary of State; developed an extraordinary partnership with him during the Civil War","Andrew Johnson (1808–1875): president under whom Seward continued serving as Secretary of State and whom he supported during impeachment","","","","","","","American Civil War (1861–1865): conflict during which Seward managed international affairs and prevented UK and France from recognizing the Confederacy","","","","","","","","Lincoln's closest and most influential adviser. Target of 1865 assassination plot; seriously wounded by Lewis Powell on the night Lincoln was killed. Negotiated the Alaska Purchase from Russia for $7.2 million in 1867, called 'Seward's Folly' at the time but later considered his greatest achievement.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/William_H._Seward#/media/File:William_H._Seward_-_1851.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"qP;K.B$jrz","William Lamb, 2nd Viscount Melbourne","British Prime Minister; political mentor to the young Queen Victoria","1779","1848","<img src=""uh_william-lamb-2nd-viscount-melbourne.jpg"">","Queen Victoria (1819–1901): monarch whom Melbourne served as first Prime Minister and chief political advisor","Robert Stewart, Viscount Castlereagh (1769–1822): earlier British statesman whose era shaped Melbourne's political career","","","","","","","Victorian Era (1837–1901): period inaugurated under Melbourne's guidance as Victoria's first Prime Minister","","","","","","","","Melbourne became Prime Minister twice and was particularly influential in guiding Queen Victoria through the early years of her reign. Their close working relationship helped establish the young queen's confidence in her royal role.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/William_Lamb,_2nd_Viscount_Melbourne#/media/File:Lord_Melbourne.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Europe"
"y%M6R*buoc","William Tecumseh Sherman","Union general; conducted March to the Sea through Georgia; pioneered total war strategy against Confederate infrastructure.","1820","1891","<img alt=""Black-and-white photograph of Sherman in uniform with his arms folded in front of him"" src=""uh_william-tecumseh-sherman.jpg"">","Abraham Lincoln (1809–1865): president who promoted Sherman to command and relied on his 1864 victories for reelection","Ulysses S. Grant (1822–1885): close friend and commanding general under whom Sherman executed major campaigns","William H. Seward (1801–1872): Secretary of State who worked with Sherman on post-war Reconstruction policies","","","","","","American Civil War (1861–1865): conflict in which Sherman's campaigns through the South devastated Confederate capacity to wage war","Vicksburg campaign (1862–1863): siege operation under Grant in which Sherman's corps played a crucial role in securing Union control of the Mississippi River","","","","","","","Commanded the March to the Sea (1864), a devastating campaign from Atlanta to Savannah that destroyed Confederate supply lines and civilian morale. His theory of total war—targeting economic resources and infrastructure—became a model for modern warfare. Accepted Confederate surrender in North Carolina in April 1865.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/William_Tecumseh_Sherman#/media/File:William-Tecumseh-Sherman.jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Region::Americas::North"
"%G(w)^&~O7","Wolfgang Amadeus Mozart","Austrian composer and child prodigy who mastered every musical form of his era","1756","1791","<img src=""uh_wolfgang-amadeus-mozart.jpg"">","Joseph Haydn (1732–1809): close friend and mutual admirer who influenced each other's compositions","","","","","","","","Classical period (music) (1750–1820): central figure whose operas, symphonies, and concertos epitomize Classical ideals of balance and expression","","","","","","","","Born in Salzburg, Mozart composed over 600 works including symphonies, operas (The Marriage of Figaro, Don Giovanni, The Magic Flute), concertos, and chamber music. His full baptismal name was Joannes Chrysostomus Wolfgangus Theophilus Mozart. He died at age 35 under mysterious circumstances. German: [ˈvɔlfɡaŋ amaˈdeːʊs ˈmoːtsaʁt]","","Claude Opus 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:Mozart_Portrait_Croce.jpg"">Wikipedia</a> (Public domain)","UH::Period::18th_Century, UH::Region::Europe::Central, UH::Theme::Culture"
"N+XYdW{+]B","Woodrow Wilson","28th US President who led America into WWI and proposed the Fourteen Points and League of Nations","1856","1924","<img src=""uh_woodrow-wilson.jpg"">","David Lloyd George (1863–1945): worked together at the Paris Peace Conference, with Wilson championing the League of Nations while Lloyd George balanced competing demands","","","","","","","","Paris Peace Conference (1919–1919): attended as US President, championing his Fourteen Points and the League of Nations, though facing resistance from European leaders","Treaty of Versailles (1919): advocated for the League of Nations and Fourteen Points at the Paris Peace Conference, though the US Senate ultimately refused to ratify the treaty","World War I (1914–1918): kept the US neutral until 1917, then brought American forces into the war, providing decisive resources and manpower for Allied victory","","","","","","Born December 28, 1856, in Staunton, Virginia. President of Princeton University before entering politics. Governor of New Jersey 1911–1913. Elected President in 1912. Re-elected in 1916 on the slogan 'He kept us out of war.' Asked Congress to declare war on Germany in April 1917 after unrestricted submarine warfare resumed. Presented the Fourteen Points to Congress in January 1918, outlining principles for a just peace including self-determination and the League of Nations. Won the Nobel Peace Prize (1919). The US Senate refused to ratify the Treaty of Versailles, and America never joined the League. Suffered a massive stroke in October 1919, leaving him incapacitated. Died February 3, 1924. Buried at Washington National Cathedral, the only president interred in the capital.","","Claude Sonnet 4.5<br><br>Image: <a href=""https://en.wikipedia.org/wiki/File:President_Woodrow_Wilson_Harris_%26_Ewing_(3x4_cropped_b).jpg"">Wikipedia</a> (Public domain)","UH::Period::19th_Century, UH::Period::20th_Century, UH::Region::Americas::North, UH::Theme::Politics"
"wH;{Va,8^N","Zinj","Paranthropus boisei fossil; robust early hominin from East Africa","c. 1,750,000 BCE","","<img src=""uh_zinj.jpg"">","Homo habilis (c. 1,700,000 BCE): contemporary hominin species with more advanced tool use","Mrs Ples (c. 2,500,000 BCE): earlier hominin from southern Africa","","","","","","","","","","","","","","","Specimen originally named Zinjanthropus boisei, now classified as Paranthropus boisei. Found in northern Tanzania.","","An African History of Africa by Zeinab Badawi (Penguin Random House UK, 2025)<br><br>Image: <a href=""https://en.wikipedia.org/wiki/Paranthropus_boisei#/media/File:Paranthropus_boisei_skull_(front).jpg"">Wikipedia</a> (Creative Commons Attribution-Share Alike 4.0 International)","UH::Period::Prehistory, UH::Region::Africa"
